#K short	G0205
#scanned warm
Wavelength (nm)	%T
2050	88.786
2051	88.698
2052	88.611
2053	88.576
2054	88.565
2055	88.6
2056	88.646
2057	88.745
2058	88.875
2059	89.001
2060	89.172
2061	89.358
2062	89.547
2063	89.766
2064	90.006
2065	90.25
2066	90.483
2067	90.733
2068	90.981
2069	91.22
2070	91.435
2071	91.671
2072	91.88
2073	92.04
2074	92.234
2075	92.386
2076	92.497
2077	92.598
2078	92.695
2079	92.737
2080	92.774
2081	92.809
2082	92.793
2083	92.77
2084	92.747
2085	92.691
2086	92.625
2087	92.538
2088	92.452
2089	92.368
2090	92.25
2091	92.14
2092	92.039
2093	91.928
2094	91.818
2095	91.722
2096	91.625
2097	91.518
2098	91.437
2099	91.356
2100	91.271
2101	91.214
2102	91.158
2103	91.12
2104	91.07
2105	91.045
2106	91.05
2107	91.041
2108	91.032
2109	91.064
2110	91.099
2111	91.128
2112	91.148
2113	91.231
2114	91.285
2115	91.334
2116	91.405
2117	91.492
2118	91.559
2119	91.657
2120	91.751
2121	91.851
2122	91.914
2123	92.02
2124	92.12
2125	92.205
2126	92.311
2127	92.391
2128	92.49
2129	92.589
2130	92.68
2131	92.758
2132	92.859
2133	92.929
2134	93.023
2135	93.077
2136	93.148
2137	93.213
2138	93.276
2139	93.312
2140	93.368
2141	93.378
2142	93.431
2143	93.451
2144	93.455
2145	93.51
2146	93.512
2147	93.519
2148	93.554
2149	93.56
2150	93.556
2151	93.563
2152	93.577
2153	93.544
2154	93.566
2155	93.585
2156	93.568
2157	93.563
2158	93.578
2159	93.577
2160	93.584
2161	93.578
2162	93.573
2163	93.6
2164	93.613
2165	93.617
2166	93.636
2167	93.64
2168	93.653
2169	93.672
2170	93.675
2171	93.659
2172	93.684
2173	93.71
2174	93.695
2175	93.696
2176	93.711
2177	93.729
2178	93.706
2179	93.702
2180	93.709
2181	93.665
2182	93.654
2183	93.648
2184	93.623
2185	93.591
2186	93.544
2187	93.491
2188	93.435
2189	93.365
2190	93.289
2191	93.217
2192	93.116
2193	93.044
2194	92.929
2195	92.802
2196	92.691
2197	92.539
2198	92.41
2199	92.269
2200	92.104
2201	91.973
2202	91.814
2203	91.676
2204	91.546
2205	91.41
2206	91.264
2207	91.135
2208	91.05
2209	90.924
2210	90.827
2211	90.754
2212	90.69
2213	90.621
2214	90.553
2215	90.535
2216	90.485
2217	90.461
2218	90.445
2219	90.447
2220	90.436
2221	90.453
2222	90.483
2223	90.509
2224	90.54
2225	90.601
2226	90.658
2227	90.733
2228	90.791
2229	90.875
2230	90.972
2231	91.053
2232	91.165
2233	91.265
2234	91.366
2235	91.467
2236	91.585
2237	91.69
2238	91.784
2239	91.911
2240	92.037
2241	92.15
2242	92.248
2243	92.362
2244	92.48
2245	92.559
2246	92.653
2247	92.747
2248	92.824
2249	92.906
2250	92.968
2251	93.042
2252	93.094
2253	93.149
2254	93.19
2255	93.238
2256	93.256
2257	93.287
2258	93.312
2259	93.331
2260	93.342
2261	93.356
2262	93.362
2263	93.365
2264	93.386
2265	93.38
2266	93.377
2267	93.39
2268	93.42
2269	93.406
2270	93.402
2271	93.441
2272	93.458
